,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000005583,103.5482622,-2.451724846,0.455246335,-5.385490574,7.22E-08,7.97E-06
ENSMUSG00000057367,3619.671152,1.053054824,0.196696142,5.353713667,8.62E-08,9.42E-06
ENSMUSG00000015709,268.3025958,2.048713875,0.38356084,5.341300943,9.23E-08,1.00E-05
ENSMUSG00000025427,18.25632929,5.214632565,0.979162955,5.325602383,1.01E-07,1.08E-05
ENSMUSG00000079071,1072.349738,-1.205691246,0.226484335,-5.323508336,1.02E-07,1.08E-05
ENSMUSG00000036764,241.2258657,1.220969315,0.230124313,5.305694547,1.12E-07,1.19E-05
ENSMUSG00000037706,1135.281369,1.028459807,0.194009293,5.301085277,1.15E-07,1.21E-05
ENSMUSG00000026414,18.08135361,6.715258099,1.273861725,5.271575375,1.35E-07,1.39E-05
ENSMUSG00000026670,1274.161082,1.153433095,0.218810744,5.271373207,1.35E-07,1.39E-05
ENSMUSG00000035451,32.2807126,2.350689098,0.446047796,5.270038587,1.36E-07,1.39E-05
ENSMUSG00000032446,172.1813109,1.606291762,0.305215742,5.262807714,1.42E-07,1.44E-05
ENSMUSG00000026991,1304.445995,0.864817535,0.165156609,5.236348334,1.64E-07,1.65E-05
ENSMUSG00000022744,2381.235504,0.898942014,0.172248105,5.218878978,1.80E-07,1.79E-05
ENSMUSG00000086981,20.17957189,3.030983016,0.582054847,5.207383864,1.92E-07,1.89E-05
